product_name,active_ingredients,product_category,nafdac_reg_no,form,route_of_admin,strengths,status,source_id,label,perturbation_type,name_similarity,registration_match,ingredient_match,form_match,route_match,strength_match,category_match,status_valid
5% DEXTROSE (500/1000 ML),ANHYDROUS DEXTROSE,DRUGS,04-0857,SOLUTION FOR INFUSION,INTRAVENOUS,,INACTIVE,8,Genuine,None,1.0,1,1,1,1,1,1,0
5% DEXTROSE (500/1000 ML),ANHYDROUS DEXTROSE,DRUGS,04-0857X,SOLUTION FOR INFUSION,INTRAVENOUS,,INACTIVE,8,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
5% DEXTROSE (500/1000 ML) X,ANHYDROUS DEXTROSE,DRUGS,04-0857,SOLUTION FOR INFUSION,INTRAVENOUS,,INACTIVE,8,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
5% DEXTROSE AND NORMAL SALINE INFUSION,GLUCOSE; SODIUM CHLORIDE,DRUGS,A11-0236,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,9,Genuine,None,1.0,1,1,1,1,1,1,1
5% DEXTROSE AND NORMAL SALINE INFUSION,GLUCOSE; SODIUM CHLORIDE,DRUGS,A11-0236X,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,9,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
5% DEXTROSE AND NORMAL SALINE INFUSION X,GLUCOSE; SODIUM CHLORIDE,DRUGS,A11-0236,SOLUTION FOR INFUSION,INTRAVENOUS,,ACTIVE,9,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACECO 50 TABLETS,DICLOFENAC POTASSIUM,DRUGS,B4-1808,TABLET,ORAL,,ACTIVE,10,Genuine,None,1.0,1,1,1,1,1,1,1
ACECO 50 TABLETS,DICLOFENAC POTASSIUM,DRUGS,B4-1808X,TABLET,ORAL,,ACTIVE,10,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACECO 50 TABLETS X,DICLOFENAC POTASSIUM,DRUGS,B4-1808,TABLET,ORAL,,ACTIVE,10,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACECLOFEN TABLET 100 MG,ACECLOFENAC,DRUGS,B4-2965,TABLET,ORAL,,INACTIVE,11,Genuine,None,1.0,1,1,1,1,1,1,0
ACECLOFEN TABLET 100 MG,ACECLOFENAC,DRUGS,B4-2965X,TABLET,ORAL,,INACTIVE,11,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACECLOFEN TABLET 100 MG X,ACECLOFENAC,DRUGS,B4-2965,TABLET,ORAL,,INACTIVE,11,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACECLOFENAC INJECTION,ACECLOFENAC,DRUGS,C4-1809,SOLUTION FOR INJECTION,INTRAMUSCULAR,,ACTIVE,12,Genuine,None,1.0,1,1,1,1,1,1,1
ACECLOFENAC INJECTION,ACECLOFENAC,DRUGS,C4-1809X,SOLUTION FOR INJECTION,INTRAMUSCULAR,,ACTIVE,12,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACECLOFENAC INJECTION X,ACECLOFENAC,DRUGS,C4-1809,SOLUTION FOR INJECTION,INTRAMUSCULAR,,ACTIVE,12,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACECLOMAX TABLETS,ACECLOFENAC; PARACETAMOL,DRUGS,B4-7902,TABLET,ORAL,,ACTIVE,13,Genuine,None,1.0,1,1,1,1,1,1,1
ACECLOMAX TABLETS,ACECLOFENAC; PARACETAMOL,DRUGS,B4-7902X,TABLET,ORAL,,ACTIVE,13,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACECLOMAX TABLETS X,ACECLOFENAC; PARACETAMOL,DRUGS,B4-7902,TABLET,ORAL,,ACTIVE,13,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACECLODON 100 TABLETS,ACECLOFENAC,DRUGS,B4-5592,TABLET,ORAL,,INACTIVE,14,Genuine,None,1.0,1,1,1,1,1,1,0
ACECLODON 100 TABLETS,ACECLOFENAC,DRUGS,B4-5592X,TABLET,ORAL,,INACTIVE,14,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACECLODON 100 TABLETS X,ACECLOFENAC,DRUGS,B4-5592,TABLET,ORAL,,INACTIVE,14,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACECLODON GEL,ACECLOFENAC,DRUGS,C4-1681,GEL,TOPICAL,,INACTIVE,15,Genuine,None,1.0,1,1,1,1,1,1,0
ACECLODON GEL,ACECLOFENAC,DRUGS,C4-1681X,GEL,TOPICAL,,INACTIVE,15,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACECLODON GEL X,ACECLOFENAC,DRUGS,C4-1681,GEL,TOPICAL,,INACTIVE,15,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACEM-500 TABLETS,CLARITHROMYCIN,DRUGS,04-8551,TABLET,ORAL,,INACTIVE,16,Genuine,None,1.0,1,1,1,1,1,1,0
ACEM-500 TABLETS,CLARITHROMYCIN,DRUGS,04-8551X,TABLET,ORAL,,INACTIVE,16,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACEM-500 TABLETS X,CLARITHROMYCIN,DRUGS,04-8551,TABLET,ORAL,,INACTIVE,16,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACENAC TABLETS 100 MG,ACECLOFENAC,DRUGS,A4-4192,TABLET,ORAL,,INACTIVE,17,Genuine,None,1.0,1,1,1,1,1,1,0
ACENAC TABLETS 100 MG,ACECLOFENAC,DRUGS,A4-4192X,TABLET,ORAL,,INACTIVE,17,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACENAC TABLETS 100 MG X,ACECLOFENAC,DRUGS,A4-4192,TABLET,ORAL,,INACTIVE,17,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACENOL 100 MG TABLETS,ACECLOFENAC,DRUGS,B4-3754,TABLET,ORAL,,INACTIVE,18,Genuine,None,1.0,1,1,1,1,1,1,0
ACENOL 100 MG TABLETS,ACECLOFENAC,DRUGS,B4-3754X,TABLET,ORAL,,INACTIVE,18,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACENOL 100 MG TABLETS X,ACECLOFENAC,DRUGS,B4-3754,TABLET,ORAL,,INACTIVE,18,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACENOL 200 MG TABLETS,ACECLOFENAC,DRUGS,B4-0887,TABLET,ORAL,,INACTIVE,19,Genuine,None,1.0,1,1,1,1,1,1,0
ACENOL 200 MG TABLETS,ACECLOFENAC,DRUGS,B4-0887X,TABLET,ORAL,,INACTIVE,19,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACENOL 200 MG TABLETS X,ACECLOFENAC,DRUGS,B4-0887,TABLET,ORAL,,INACTIVE,19,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACEPOL SUSPENSION,PARACETAMOL,DRUGS,A4-0704,SUSPENSION,ORAL,,ACTIVE,20,Genuine,None,1.0,1,1,1,1,1,1,1
ACEPOL SUSPENSION,PARACETAMOL,DRUGS,A4-0704X,SUSPENSION,ORAL,,ACTIVE,20,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACEPOL SUSPENSION X,PARACETAMOL,DRUGS,A4-0704,SUSPENSION,ORAL,,ACTIVE,20,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACETAZOLAMIDE 250 MG TABLET,ACETAZOLAMIDE,DRUGS,C4-1780,TABLET,ORAL,,INACTIVE,21,Genuine,None,1.0,1,1,1,1,1,1,0
ACETAZOLAMIDE 250 MG TABLET,ACETAZOLAMIDE,DRUGS,C4-1780X,TABLET,ORAL,,INACTIVE,21,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACETAZOLAMIDE 250 MG TABLET X,ACETAZOLAMIDE,DRUGS,C4-1780,TABLET,ORAL,,INACTIVE,21,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACETAZOLAMIDE 250 TABLETS,ACETAZOLAMIDE,DRUGS,A11-100010,TABLET,ORAL,,INACTIVE,22,Genuine,None,1.0,1,1,1,1,1,1,0
ACETAZOLAMIDE 250 TABLETS,ACETAZOLAMIDE,DRUGS,A11-100010X,TABLET,ORAL,,INACTIVE,22,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACETAZOLAMIDE 250 TABLETS X,ACETAZOLAMIDE,DRUGS,A11-100010,TABLET,ORAL,,INACTIVE,22,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACHRELIEF GEL,ACECLOFENAC; METHYL SALICYLATE; CAPSAICIN; LINSEED OIL,DRUGS,A4-101031,GEL,TOPICAL,,ACTIVE,23,Genuine,None,1.0,1,1,1,1,1,1,1
ACHRELIEF GEL,ACECLOFENAC; METHYL SALICYLATE; CAPSAICIN; LINSEED OIL,DRUGS,A4-101031X,GEL,TOPICAL,,ACTIVE,23,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACHRELIEF GEL X,ACECLOFENAC; METHYL SALICYLATE; CAPSAICIN; LINSEED OIL,DRUGS,A4-101031,GEL,TOPICAL,,ACTIVE,23,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACYCLOVIR CREAM BP 5% W/W,ACYCLOVIR,DRUGS,A4-100450,CREAM,TOPICAL,,ACTIVE,24,Genuine,None,1.0,1,1,1,1,1,1,1
ACYCLOVIR CREAM BP 5% W/W,ACYCLOVIR,DRUGS,A4-100450X,CREAM,TOPICAL,,ACTIVE,24,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACYCLOVIR CREAM BP 5% W/W X,ACYCLOVIR,DRUGS,A4-100450,CREAM,TOPICAL,,ACTIVE,24,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACIDOMEP CAPSULES,OMEPRAZOLE,DRUGS,A4-9491,CAPSULE,ORAL,,INACTIVE,25,Genuine,None,1.0,1,1,1,1,1,1,0
ACIDOMEP CAPSULES,OMEPRAZOLE,DRUGS,A4-9491X,CAPSULE,ORAL,,INACTIVE,25,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACIDOMEP CAPSULES X,OMEPRAZOLE,DRUGS,A4-9491,CAPSULE,ORAL,,INACTIVE,25,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACIGO MIST MAGNESIUM TRISILICATE SUSPENSION,MAGNESIUM TRISILICATE; MAGNESIUM CARBONATE; SODIUM BICARBONATE,DRUGS,A4-4335,SUSPENSION,ORAL,,INACTIVE,26,Genuine,None,1.0,1,1,1,1,1,1,0
ACIGO MIST MAGNESIUM TRISILICATE SUSPENSION,MAGNESIUM TRISILICATE; MAGNESIUM CARBONATE; SODIUM BICARBONATE,DRUGS,A4-4335X,SUSPENSION,ORAL,,INACTIVE,26,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACIGO MIST MAGNESIUM TRISILICATE SUSPENSION X,MAGNESIUM TRISILICATE; MAGNESIUM CARBONATE; SODIUM BICARBONATE,DRUGS,A4-4335,SUSPENSION,ORAL,,INACTIVE,26,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACIGUARD ANTACID SUSPENSION,ALUMINIUM HYDROXIDE; MAGNESIUM HYDROXIDE; MAGNESIUM TRISILICATE; SIMETHICONE,DRUGS,04-4753,SUSPENSION,ORAL,,ACTIVE,27,Genuine,None,1.0,1,1,1,1,1,1,1
ACIGUARD ANTACID SUSPENSION,ALUMINIUM HYDROXIDE; MAGNESIUM HYDROXIDE; MAGNESIUM TRISILICATE; SIMETHICONE,DRUGS,04-4753X,SUSPENSION,ORAL,,ACTIVE,27,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACIGUARD ANTACID SUSPENSION X,ALUMINIUM HYDROXIDE; MAGNESIUM HYDROXIDE; MAGNESIUM TRISILICATE; SIMETHICONE,DRUGS,04-4753,SUSPENSION,ORAL,,ACTIVE,27,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACIMOX CAPSULE,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),DRUGS,A4-8982,CAPSULE,ORAL,,ACTIVE,28,Genuine,None,1.0,1,1,1,1,1,1,1
ACIMOX CAPSULE,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),DRUGS,A4-8982X,CAPSULE,ORAL,,ACTIVE,28,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACIMOX CAPSULE X,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),DRUGS,A4-8982,CAPSULE,ORAL,,ACTIVE,28,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACIMOX SUSPENSION,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),DRUGS,A11-0155,POWDER FOR SUSPENSION,ORAL,,ACTIVE,29,Genuine,None,1.0,1,1,1,1,1,1,1
ACIMOX SUSPENSION,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),DRUGS,A11-0155X,POWDER FOR SUSPENSION,ORAL,,ACTIVE,29,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACIMOX SUSPENSION X,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),DRUGS,A11-0155,POWDER FOR SUSPENSION,ORAL,,ACTIVE,29,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACIPEP TABLETS,ALGINIC ACID; MAGNESIUM HYDROXIDE; DRIED ALUMINIUM HYDROXIDE; SODIUM BICARBONATE,DRUGS,C4-1196,CHEWABLE TABLET,ORAL,,INACTIVE,30,Genuine,None,1.0,1,1,1,1,1,1,0
ACIPEP TABLETS,ALGINIC ACID; MAGNESIUM HYDROXIDE; DRIED ALUMINIUM HYDROXIDE; SODIUM BICARBONATE,DRUGS,C4-1196X,CHEWABLE TABLET,ORAL,,INACTIVE,30,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACIPEP TABLETS X,ALGINIC ACID; MAGNESIUM HYDROXIDE; DRIED ALUMINIUM HYDROXIDE; SODIUM BICARBONATE,DRUGS,C4-1196,CHEWABLE TABLET,ORAL,,INACTIVE,30,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACIPRO CAPLET $,CIPROFLOXACIN,DRUGS,04-5827,CAPLET,ORAL,,ACTIVE,31,Genuine,None,1.0,1,1,1,1,1,1,1
ACIPRO CAPLET $,CIPROFLOXACIN,DRUGS,04-5827X,CAPLET,ORAL,,ACTIVE,31,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACIPRO CAPLET $ X,CIPROFLOXACIN,DRUGS,04-5827,CAPLET,ORAL,,ACTIVE,31,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACITHROMAC SUSPENSION,ERYTHROMYCIN (ERYTHROMYCIN STEARATE),DRUGS,04-1050,SUSPENSION,ORAL,,ACTIVE,32,Genuine,None,1.0,1,1,1,1,1,1,1
ACITHROMAC SUSPENSION,ERYTHROMYCIN (ERYTHROMYCIN STEARATE),DRUGS,04-1050X,SUSPENSION,ORAL,,ACTIVE,32,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACITHROMAC SUSPENSION X,ERYTHROMYCIN (ERYTHROMYCIN STEARATE),DRUGS,04-1050,SUSPENSION,ORAL,,ACTIVE,32,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACITHROMAC TABLET,ERYTHROMYCIN (ERYTHROMYCIN STEARATE),DRUGS,A11-0312,CAPLET,ORAL,,ACTIVE,33,Genuine,None,1.0,1,1,1,1,1,1,1
ACITHROMAC TABLET,ERYTHROMYCIN (ERYTHROMYCIN STEARATE),DRUGS,A11-0312X,CAPLET,ORAL,,ACTIVE,33,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACITHROMAC TABLET X,ERYTHROMYCIN (ERYTHROMYCIN STEARATE),DRUGS,A11-0312,CAPLET,ORAL,,ACTIVE,33,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACIZIP-100 TABLETS,ACECLOFENAC,DRUGS,B4-4804,TABLET,ORAL,,ACTIVE,34,Genuine,None,1.0,1,1,1,1,1,1,1
ACIZIP-100 TABLETS,ACECLOFENAC,DRUGS,B4-4804X,TABLET,ORAL,,ACTIVE,34,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACIZIP-100 TABLETS X,ACECLOFENAC,DRUGS,B4-4804,TABLET,ORAL,,ACTIVE,34,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACOFENAC,DICLOFENAC SODIUM,DRUGS,B4-4208,TABLET,ORAL,,ACTIVE,35,Genuine,None,1.0,1,1,1,1,1,1,1
ACOFENAC,DICLOFENAC SODIUM,DRUGS,B4-4208X,TABLET,ORAL,,ACTIVE,35,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACOFENAC X,DICLOFENAC SODIUM,DRUGS,B4-4208,TABLET,ORAL,,ACTIVE,35,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACRETIN 0.025% CREAM,TRETINOIN,DRUGS,B4-7857,CREAM,CUTANEOUS/TOPICAL,,ACTIVE,36,Genuine,None,1.0,1,1,1,1,1,1,1
ACRETIN 0.025% CREAM,TRETINOIN,DRUGS,B4-7857X,CREAM,CUTANEOUS/TOPICAL,,ACTIVE,36,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACRETIN 0.025% CREAM X,TRETINOIN,DRUGS,B4-7857,CREAM,CUTANEOUS/TOPICAL,,ACTIVE,36,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACRETIN 0.05% CREAM,TRETINOIN,DRUGS,B4-7858,CREAM,TOPICAL,,ACTIVE,37,Genuine,None,1.0,1,1,1,1,1,1,1
ACRETIN 0.05% CREAM,TRETINOIN,DRUGS,B4-7858X,CREAM,TOPICAL,,ACTIVE,37,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACRETIN 0.05% CREAM X,TRETINOIN,DRUGS,B4-7858,CREAM,TOPICAL,,ACTIVE,37,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACRIPTEGA TABLETS,DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM); LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE,DRUGS,B4-9927,TABLET,ORAL,,ACTIVE,38,Genuine,None,1.0,1,1,1,1,1,1,1
ACRIPTEGA TABLETS,DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM); LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE,DRUGS,B4-9927X,TABLET,ORAL,,ACTIVE,38,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACRIPTEGA TABLETS X,DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM); LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE,DRUGS,B4-9927,TABLET,ORAL,,ACTIVE,38,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACTAZONE 1 G INJECTION,CEFTRIAXONE (CEFTRIAXONE SODIUM),DRUGS,B4-6442,POWDER FOR INJECTION,INTRAVENOUS,,INACTIVE,39,Genuine,None,1.0,1,1,1,1,1,1,0
ACTAZONE 1 G INJECTION,CEFTRIAXONE (CEFTRIAXONE SODIUM),DRUGS,B4-6442X,POWDER FOR INJECTION,INTRAVENOUS,,INACTIVE,39,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACTAZONE 1 G INJECTION X,CEFTRIAXONE (CEFTRIAXONE SODIUM),DRUGS,B4-6442,POWDER FOR INJECTION,INTRAVENOUS,,INACTIVE,39,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACTIFED COLD TABLETS,TRIPROLIDINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,DRUGS,04-1964,TABLET,ORAL,,ACTIVE,40,Genuine,None,1.0,1,1,1,1,1,1,1
ACTIFED COLD TABLETS,TRIPROLIDINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,DRUGS,04-1964X,TABLET,ORAL,,ACTIVE,40,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACTIFED COLD TABLETS X,TRIPROLIDINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,DRUGS,04-1964,TABLET,ORAL,,ACTIVE,40,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACTILYSE POWDER,ALTEPLASE,DRUGS,A6-0592,POWDER FOR INJECTION,INTRAVENOUS,,INACTIVE,41,Genuine,None,1.0,1,1,1,1,1,1,0
ACTILYSE POWDER,ALTEPLASE,DRUGS,A6-0592X,POWDER FOR INJECTION,INTRAVENOUS,,INACTIVE,41,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
ACTILYSE POWDER X,ALTEPLASE,DRUGS,A6-0592,POWDER FOR INJECTION,INTRAVENOUS,,INACTIVE,41,Suspicious,Altered product name,0.7,1,1,1,1,1,1,0
ACTIMAX 20/120 DISPERSIBLE TABLET $,ARTEMETHER; LUMEFANTRINE,DRUGS,A11-0726,TABLET,ORAL,,ACTIVE,42,Genuine,None,1.0,1,1,1,1,1,1,1
ACTIMAX 20/120 DISPERSIBLE TABLET $,ARTEMETHER; LUMEFANTRINE,DRUGS,A11-0726X,TABLET,ORAL,,ACTIVE,42,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACTIMAX 20/120 DISPERSIBLE TABLET $ X,ARTEMETHER; LUMEFANTRINE,DRUGS,A11-0726,TABLET,ORAL,,ACTIVE,42,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACTINAC 100 TABLETS,ACECLOFENAC,DRUGS,A4-7483,TABLET,ORAL,,ACTIVE,43,Genuine,None,1.0,1,1,1,1,1,1,1
ACTINAC 100 TABLETS,ACECLOFENAC,DRUGS,A4-7483X,TABLET,ORAL,,ACTIVE,43,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,1
ACTINAC 100 TABLETS X,ACECLOFENAC,DRUGS,A4-7483,TABLET,ORAL,,ACTIVE,43,Suspicious,Altered product name,0.7,1,1,1,1,1,1,1
ACTINAC PLUS TABLET,ACECLOFENAC; PARACETAMOL,DRUGS,A4-7482,TABLET,ORAL,,INACTIVE,44,Genuine,None,1.0,1,1,1,1,1,1,0
ACTINAC PLUS TABLET,ACECLOFENAC; PARACETAMOL,DRUGS,A4-7482X,TABLET,ORAL,,INACTIVE,44,Suspicious,Altered registration number,1.0,0,1,1,1,1,1,0
